MemberID,Month,MembershipFee,ProShopSpend,F&BSpend,CoachingRevenue
3,2024-01,416.67,598.45,379.46,160
3,2024-02,416.67,237.45,317.33,80
3,2024-03,416.67,466.25,167.69,80
3,2024-04,416.67,497.71,153.56,160
3,2024-05,416.67,253.09,291.89,160
3,2024-06,416.67,238.12,349.36,80
3,2024-07,416.67,350.33,243.32,160
3,2024-08,416.67,291.38,210.26,80
3,2024-09,416.67,510.76,317.08,80
3,2024-10,416.67,503.17,309.76,80
3,2024-11,416.67,306.12,218.8,80
3,2024-12,416.67,354.21,140.53,0
4,2023-01,183.33,422.15,329.8,80
4,2023-02,183.33,437.04,187.42,160
4,2023-03,183.33,169.81,171.54,80
4,2023-04,183.33,329.73,325.41,160
4,2023-05,183.33,595.06,160.03,160
4,2023-06,183.33,127.05,149.33,80
4,2023-07,183.33,331.82,197.29,0
4,2023-08,183.33,282.83,213.16,160
4,2023-09,183.33,486.33,377.26,80
4,2023-10,183.33,190.67,254.52,160
4,2023-11,183.33,362.01,298.23,80
4,2023-12,183.33,276.51,136.82,80
4,2024-01,183.33,297.07,309.03,160
4,2024-02,183.33,264.98,151.54,0
4,2024-03,183.33,514.53,205.08,160
4,2024-04,183.33,482.71,191.76,160
4,2024-05,183.33,308.42,255.04,80
4,2024-06,183.33,260.49,220.24,0
4,2024-07,183.33,535.21,162.67,80
4,2024-08,183.33,248.84,263.05,0
4,2024-09,183.33,433.87,322.05,160
4,2024-10,183.33,181.78,349.16,0
4,2024-11,183.33,211.18,196.3,0
4,2024-12,183.33,227.78,167.3,80
5,2023-01,291.67,23.76,31.82,80
5,2023-02,291.67,30.21,31.54,0
5,2023-03,291.67,0,0,80
5,2023-04,291.67,51.82,37.97,80
5,2023-05,291.67,0,0,0
5,2023-06,291.67,32.72,36.66,0
5,2023-07,291.67,0,0,80
5,2023-08,291.67,0,0,80
5,2023-09,291.67,0,0,0
5,2023-10,291.67,0,0,0
5,2023-11,291.67,0,0,0
5,2023-12,291.67,40.02,28.56,80
5,2024-01,291.67,21.03,23.53,0
5,2024-02,291.67,29.84,26.92,0
5,2024-03,291.67,0,0,80
5,2024-04,291.67,0,0,0
5,2024-05,291.67,0,0,0
5,2024-06,291.67,57.18,28.31,0
5,2024-07,291.67,48.65,21.82,0
5,2024-08,291.67,24.93,36.49,80
5,2024-09,291.67,0,0,0
5,2024-10,291.67,52.63,24.34,0
5,2024-11,291.67,0,0,0
5,2024-12,291.67,0,0,80
6,2023-01,291.67,61.98,71.13,0
6,2023-02,291.67,253.33,93.71,80
6,2023-03,291.67,197.9,146.28,0
6,2023-04,291.67,129.96,83.02,0
6,2023-05,291.67,142.54,119.45,0
6,2023-06,291.67,131.65,95.69,0
6,2023-07,291.67,143.09,119.34,0
6,2023-08,291.67,167.45,188.19,80
6,2023-09,291.67,111.54,39.59,0
6,2023-10,291.67,223.43,130.3,0
6,2023-11,291.67,146.74,142.5,0
6,2023-12,291.67,87.7,79.26,0
6,2024-01,291.67,139.42,86.83,80
6,2024-02,291.67,129.66,51.66,0
6,2024-03,291.67,56.07,56.79,0
6,2024-04,291.67,60.15,67.56,0
6,2024-05,291.67,146.93,124.91,80
6,2024-06,291.67,253.72,105.46,0
6,2024-07,291.67,70.69,101.65,0
6,2024-08,291.67,52.74,33.16,0
6,2024-09,291.67,172.03,85.96,0
6,2024-10,291.67,212.05,87.97,0
6,2024-11,291.67,170.33,82.27,0
6,2024-12,291.67,120.14,74.79,0
7,2023-01,291.67,109.44,70.3,0
7,2023-02,291.67,164.51,77.86,0
7,2023-03,291.67,236.1,124.1,80
7,2023-04,291.67,65.1,60.32,0
7,2023-05,291.67,53.99,55.13,0
7,2023-06,291.67,49.74,53.91,80
7,2023-07,291.67,209.91,195.73,0
7,2023-08,291.67,275.22,109.72,0
7,2023-09,291.67,179.13,125.02,80
7,2023-10,291.67,110.69,81.18,0
7,2023-11,291.67,143.4,118.78,160
7,2023-12,291.67,205.23,86.54,0
7,2024-01,291.67,161.51,159.67,80
7,2024-02,291.67,53.9,62.79,0
7,2024-03,291.67,166.39,78.73,0
7,2024-04,291.67,78.53,38.84,0
7,2024-05,291.67,73.29,54.07,80
7,2024-06,291.67,141.72,59.23,80
7,2024-07,291.67,59.3,78.79,0
7,2024-08,291.67,104.57,64.94,0
7,2024-09,291.67,95.69,108.82,0
7,2024-10,291.67,230.34,176.34,80
7,2024-11,291.67,102.8,74.6,0
7,2024-12,291.67,115.43,70.44,0
8,2023-01,416.67,336.42,159.22,0
8,2023-02,416.67,304.04,165.39,80
8,2023-03,416.67,156.04,200.62,160
8,2023-04,416.67,129.13,201.93,80
8,2023-05,416.67,122.91,233.48,160
8,2023-06,416.67,596.64,392.69,80
8,2023-07,416.67,215.71,139.68,80
8,2023-08,416.67,406.69,187.72,80
8,2023-09,416.67,262.02,354.6,0
8,2023-10,416.67,213,117.12,160
8,2023-11,416.67,352.44,209.81,80
8,2023-12,416.67,354.97,342.07,80
8,2024-01,416.67,219.89,269.67,160
8,2024-02,416.67,225.46,181.94,80
8,2024-03,416.67,517.43,301.41,160
8,2024-04,416.67,315.83,219.21,80
8,2024-05,416.67,272.66,123.16,160
8,2024-06,416.67,561.64,345.44,0
8,2024-07,416.67,246.19,227.91,160
8,2024-08,416.67,490.39,354.45,160
8,2024-09,416.67,292.29,271.64,160
8,2024-10,416.67,255.61,193.33,80
8,2024-11,416.67,237.63,238.85,80
8,2024-12,416.67,186.7,119.09,80
9,2023-01,183.33,49.32,30.4,0
9,2023-02,183.33,0,0,80
9,2023-03,183.33,28.1,38.95,0
9,2023-04,183.33,0,0,80
9,2023-05,183.33,48.88,37.15,0
9,2023-06,183.33,0,0,0
9,2023-07,183.33,23.72,29.71,0
9,2023-08,183.33,24.17,20.64,0
9,2023-09,183.33,47.06,35.12,0
9,2023-10,183.33,0,0,0
9,2023-11,183.33,51.54,27.93,80
9,2023-12,183.33,49.42,20.9,0
9,2024-01,183.33,0,0,0
9,2024-02,183.33,0,0,0
9,2024-03,183.33,0,0,80
9,2024-04,183.33,0,0,160
9,2024-05,183.33,57.63,21.48,0
9,2024-06,183.33,38.47,27.02,0
9,2024-07,183.33,0,0,0
9,2024-08,183.33,20.28,16.43,80
9,2024-09,183.33,50.06,31.42,0
9,2024-10,183.33,21.78,15.91,0
9,2024-11,183.33,0,0,0
9,2024-12,183.33,26.26,36.33,80
10,2023-01,183.33,289.08,176.94,0
10,2023-02,183.33,512.07,429.93,0
10,2023-03,183.33,304.06,332.71,160
10,2023-04,183.33,343.04,138.46,0
10,2023-05,183.33,266.05,142.43,80
10,2023-06,183.33,220.32,103.33,160
10,2023-07,183.33,270.5,401.54,80
10,2023-08,183.33,293.67,212.26,80
10,2023-09,183.33,292.94,425.07,80
10,2023-10,183.33,218.82,187.65,80
10,2023-11,183.33,269.25,262.89,160
10,2023-12,183.33,224.44,171.72,160
10,2024-01,183.33,451.48,139.04,80
10,2024-02,183.33,302.2,386.66,80
10,2024-03,183.33,294.7,121.48,80
10,2024-04,183.33,319.3,141.09,0
10,2024-05,183.33,213.63,234.24,80
10,2024-06,183.33,251.88,278.57,160
10,2024-07,183.33,411.36,179.06,160
10,2024-08,183.33,526.2,383.15,80
10,2024-09,183.33,214.03,221.41,80
10,2024-10,183.33,501.84,282.22,160
10,2024-11,183.33,469.68,291.37,160
10,2024-12,183.33,352.11,152.66,80
11,2023-01,183.33,0,0,80
11,2023-02,183.33,41.1,32.98,0
11,2023-03,183.33,58.94,23.42,0
11,2023-04,183.33,0,0,80
11,2023-05,183.33,0,0,80
11,2023-06,183.33,53.04,17.52,0
11,2023-07,183.33,0,0,0
11,2023-08,183.33,0,0,0
11,2023-09,183.33,0,0,0
11,2023-10,183.33,0,0,0
11,2023-11,183.33,0,0,0
11,2023-12,183.33,0,0,0
11,2024-01,183.33,0,0,0
11,2024-02,183.33,0,0,0
11,2024-03,183.33,0,0,0
11,2024-04,183.33,54.33,22.31,80
11,2024-05,183.33,0,0,80
11,2024-06,183.33,0,0,0
11,2024-07,183.33,30.53,16.15,0
11,2024-08,183.33,0,0,0
11,2024-09,183.33,55.09,36.93,0
11,2024-10,183.33,0,0,0
11,2024-11,183.33,0,0,0
11,2024-12,183.33,0,0,0
12,2023-01,291.67,58.23,15.63,80
12,2023-02,291.67,0,0,0
12,2023-03,291.67,57.92,26.13,0
12,2023-04,291.67,0,0,80
12,2023-05,291.67,0,0,160
12,2023-06,291.67,30.18,24.05,0
12,2023-07,291.67,29.55,26.74,0
12,2023-08,291.67,0,0,0
12,2023-09,291.67,54.17,16.24,0
12,2023-10,291.67,33.55,35.06,0
12,2023-11,291.67,0,0,0
12,2023-12,291.67,0,0,0
12,2024-01,291.67,0,0,80
12,2024-02,291.67,56.3,32.85,0
12,2024-03,291.67,48.74,38.85,80
12,2024-04,291.67,0,0,0
12,2024-05,291.67,0,0,80
12,2024-06,291.67,0,0,0
12,2024-07,291.67,0,0,80
12,2024-08,291.67,0,0,0
12,2024-09,291.67,41.2,35.73,0
12,2024-10,291.67,36.88,22.38,0
12,2024-11,291.67,0,0,0
12,2024-12,291.67,0,0,80
13,2023-01,416.67,174.45,82.63,0
13,2023-02,416.67,283.33,128.87,80
13,2023-03,416.67,174.01,78.43,80
13,2023-04,416.67,133.37,128.82,80
13,2023-05,416.67,289.33,117.47,0
13,2023-06,416.67,100.87,50.38,80
13,2023-07,416.67,161.66,84.83,0
13,2023-08,416.67,190.8,161.03,0
13,2023-09,416.67,118.2,56.6,160
13,2023-10,416.67,42.48,49.4,0
13,2023-11,416.67,77.65,81.59,0
13,2023-12,416.67,174.71,68.55,80
13,2024-01,416.67,167.26,68.82,0
13,2024-02,416.67,141.68,94.04,160
13,2024-03,416.67,206.45,96.04,160
13,2024-04,416.67,64.19,42.97,80
13,2024-05,416.67,188.38,83.5,0
13,2024-06,416.67,172.87,73.92,0
13,2024-07,416.67,113.17,138.24,0
13,2024-08,416.67,171.1,122.07,80
13,2024-09,416.67,108.2,65.54,80
13,2024-10,416.67,169.13,99.16,0
13,2024-11,416.67,99.67,57.47,0
13,2024-12,416.67,110.17,77.2,80
14,2023-01,183.33,401.48,218.39,80
14,2023-02,183.33,297.56,182.21,80
14,2023-03,183.33,344.73,293.12,80
14,2023-04,183.33,484.93,327.64,80
14,2023-05,183.33,223.79,150.79,80
14,2023-06,183.33,134.99,222.52,0
14,2023-07,183.33,230.64,266.81,160
14,2023-08,183.33,342.36,226.19,80
14,2023-09,183.33,369.54,163.35,80
14,2023-10,183.33,162.84,319.56,160
14,2023-11,183.33,144.01,234.13,80
14,2023-12,183.33,121.36,230.56,80
14,2024-01,183.33,484.53,273.06,80
14,2024-02,183.33,284.98,93.67,80
14,2024-03,183.33,418.64,309.54,160
14,2024-04,183.33,383.3,224.31,160
14,2024-05,183.33,289.7,97.53,80
14,2024-06,183.33,199.11,256.1,80
14,2024-07,183.33,289.63,301.22,80
14,2024-08,183.33,419.59,204.82,80
14,2024-09,183.33,459.13,180.73,80
14,2024-10,183.33,228.95,213.21,80
14,2024-11,183.33,326.45,361.34,160
14,2024-12,183.33,382.78,161.99,160
15,2023-01,291.67,31.37,18.35,0
15,2023-02,291.67,36.1,17.57,80
15,2023-03,291.67,0,0,0
15,2023-04,291.67,57.62,17.07,0
15,2023-05,291.67,30.82,36.07,0
15,2023-06,291.67,57.72,25.56,0
15,2023-07,291.67,23.57,32.18,0
15,2023-08,291.67,53.77,31.9,0
15,2023-09,291.67,0,0,0
15,2023-10,291.67,0,0,80
15,2023-11,291.67,0,0,0
15,2023-12,291.67,0,0,0
15,2024-01,291.67,0,0,0
15,2024-02,291.67,0,0,80
15,2024-03,291.67,0,0,0
15,2024-04,291.67,0,0,80
15,2024-05,291.67,0,0,0
15,2024-06,291.67,53.53,32.73,0
15,2024-07,291.67,36.17,28.27,0
15,2024-08,291.67,55.11,16.04,0
15,2024-09,291.67,50.96,34.32,80
15,2024-10,291.67,43.01,16.91,0
15,2024-11,291.67,0,0,80
15,2024-12,291.67,0,0,80
16,2023-01,291.67,41.89,74.93,160
16,2023-02,291.67,56.57,37.62,0
16,2023-03,291.67,149.32,135.51,0
16,2023-04,291.67,173.15,159.02,0
16,2023-05,291.67,167.12,156.28,80
16,2023-06,291.67,245.13,152.47,80
16,2023-07,291.67,86.26,37.35,0
16,2023-08,291.67,53.11,62.14,0
16,2023-09,291.67,63.24,53.5,0
16,2023-10,291.67,190.42,153.06,0
16,2023-11,291.67,126.85,194.74,0
16,2023-12,291.67,231.85,156.23,80
16,2024-01,291.67,115.16,85.99,0
16,2024-02,291.67,109.12,54.07,0
16,2024-03,291.67,118.5,69.66,0
16,2024-04,291.67,97.42,123.65,0
16,2024-05,291.67,296.23,146.19,160
16,2024-06,291.67,108.18,81.4,0
16,2024-07,291.67,155.11,113.09,160
16,2024-08,291.67,174.35,117.53,80
16,2024-09,291.67,243.67,105.92,0
16,2024-10,291.67,116.81,68.18,0
16,2024-11,291.67,40.72,47.85,0
16,2024-12,291.67,109.21,176.01,0
17,2023-01,291.67,288.88,298.93,160
17,2023-02,291.67,359.13,379.88,160
17,2023-03,291.67,314.1,247.09,80
17,2023-04,291.67,522.33,264.85,80
17,2023-05,291.67,389.98,322.81,80
17,2023-06,291.67,193.65,265.69,80
17,2023-07,291.67,450.64,186.46,160
17,2023-08,291.67,187.79,232.57,160
17,2023-09,291.67,371,231.58,80
17,2023-10,291.67,446.11,309.29,160
17,2023-11,291.67,390.53,274.38,80
17,2023-12,291.67,286.45,268.61,160
17,2024-01,291.67,250.36,423.72,160
17,2024-02,291.67,530.7,161.91,80
17,2024-03,291.67,415.67,169.11,80
17,2024-04,291.67,189.61,229.65,80
17,2024-05,291.67,479.79,181.87,80
17,2024-06,291.67,319.5,248.65,160
17,2024-07,291.67,220.76,197.78,80
17,2024-08,291.67,447.08,325.9,160
17,2024-09,291.67,339.53,247.94,160
17,2024-10,291.67,659.8,276.58,160
17,2024-11,291.67,510.85,186.58,80
17,2024-12,291.67,358.58,207.16,80
18,2023-01,291.67,57.97,30.8,0
18,2023-02,291.67,0,0,80
18,2023-03,291.67,0,0,0
18,2023-04,291.67,0,0,80
18,2023-05,291.67,0,0,0
18,2023-06,291.67,0,0,80
18,2023-07,291.67,0,0,0
18,2023-08,291.67,0,0,0
18,2023-09,291.67,0,0,0
18,2023-10,291.67,0,0,80
18,2023-11,291.67,52.35,31.93,0
18,2023-12,291.67,46.91,34.92,0
18,2024-01,291.67,0,0,0
18,2024-02,291.67,41.95,22.19,80
18,2024-03,291.67,0,0,0
18,2024-04,291.67,0,0,0
18,2024-05,291.67,0,0,0
18,2024-06,291.67,0,0,0
18,2024-07,291.67,0,0,0
18,2024-08,291.67,24.53,25.09,0
18,2024-09,291.67,0,0,0
18,2024-10,291.67,0,0,0
18,2024-11,291.67,26.88,38.14,0
18,2024-12,291.67,43.96,30.59,0
19,2023-01,291.67,104.79,87.27,80
19,2023-02,291.67,65.03,43.55,80
19,2023-03,291.67,123.41,131.14,0
19,2023-04,291.67,110.64,40.13,80
19,2023-05,291.67,66.06,92.06,0
19,2023-06,291.67,76.02,77.88,0
19,2023-07,291.67,247.88,101.83,80
19,2023-08,291.67,112.03,51.95,0
19,2023-09,291.67,217.81,141.73,0
19,2023-10,291.67,174.31,121.33,80
19,2023-11,291.67,56.32,62.7,80
19,2023-12,291.67,41.1,42.42,80
19,2024-01,291.67,112.89,47.74,0
19,2024-02,291.67,140.74,51.09,80
19,2024-03,291.67,176.66,136.69,0
19,2024-04,291.67,178.69,134.29,0
19,2024-05,291.67,254.15,128.44,160
19,2024-06,291.67,61.51,48.42,0
19,2024-07,291.67,154.48,75.85,80
19,2024-08,291.67,111.31,78.19,0
19,2024-09,291.67,183.88,137.51,0
19,2024-10,291.67,160.21,137.83,0
19,2024-11,291.67,56.8,44.05,0
19,2024-12,291.67,121.64,75.95,0
20,2023-01,416.67,498.71,330.14,80
20,2023-02,416.67,182.87,343.03,80
20,2023-03,416.67,274.2,190.76,80
20,2023-04,416.67,257.78,317.1,0
20,2023-05,416.67,402.25,385.28,160
20,2023-06,416.67,138.63,214.33,160
20,2023-07,416.67,609.13,259.81,80
20,2023-08,416.67,254.7,211.84,80
20,2023-09,416.67,395.75,257.4,80
20,2023-10,416.67,405.97,190.34,80
20,2023-11,416.67,295.78,222.25,160
20,2023-12,416.67,202.26,195.86,160
20,2024-01,416.67,267.74,195.21,160
20,2024-02,416.67,491.17,318.14,160
20,2024-03,416.67,287.14,195.32,80
20,2024-04,416.67,251.2,176.31,160
20,2024-05,416.67,442.26,179.3,80
20,2024-06,416.67,404.91,178.57,80
20,2024-07,416.67,282.19,178.37,0
20,2024-08,416.67,281.58,151.22,80
20,2024-09,416.67,301.31,152.49,80
20,2024-10,416.67,347.42,331.69,80
20,2024-11,416.67,309.97,157.69,80
20,2024-12,416.67,314.99,122.67,80
21,2023-01,416.67,56.28,33.35,80
21,2023-02,416.67,149.17,108.59,0
21,2023-03,416.67,175.09,175.48,80
21,2023-04,416.67,86.85,104.64,0
21,2023-05,416.67,90.99,96.96,0
21,2023-06,416.67,135.99,152.93,0
21,2023-07,416.67,118.08,45.4,0
21,2023-08,416.67,109.73,147.63,0
21,2023-09,416.67,100.14,70.15,0
21,2023-10,416.67,84.87,98.49,80
21,2023-11,416.67,222.47,135,0
21,2023-12,416.67,74.65,68.72,0
21,2024-01,416.67,78.78,80.54,0
21,2024-02,416.67,87.08,39.27,80
21,2024-03,416.67,112.63,55.35,0
21,2024-04,416.67,101.38,104.39,0
21,2024-05,416.67,123.51,129.24,80
21,2024-06,416.67,116.01,112.87,0
21,2024-07,416.67,143.74,149.41,0
21,2024-08,416.67,158.6,79.61,0
21,2024-09,416.67,191.83,96.83,0
21,2024-10,416.67,152.8,126.91,0
21,2024-11,416.67,107.8,158.36,0
21,2024-12,416.67,121.7,100.22,0
22,2023-01,416.67,59.92,58.84,80
22,2023-02,416.67,280.62,191.7,160
22,2023-03,416.67,239.62,84.15,80
22,2023-04,416.67,233.79,149.17,0
22,2023-05,416.67,65.02,62.72,80
22,2023-06,416.67,226.66,130.62,0
22,2023-07,416.67,223.91,145.42,0
22,2023-08,416.67,178.12,83.67,0
22,2023-09,416.67,96.59,49.46,80
22,2023-10,416.67,175.83,121.44,0
22,2023-11,416.67,299.13,197.64,0
22,2023-12,416.67,287.99,138,80
22,2024-01,416.67,235.51,121.64,0
22,2024-02,416.67,88.7,124.43,80
22,2024-03,416.67,52.5,61.8,80
22,2024-04,416.67,108.47,147.47,0
22,2024-05,416.67,41.53,68.96,80
22,2024-06,416.67,152.78,128.57,0
22,2024-07,416.67,108.23,56.53,0
22,2024-08,416.67,46.28,67.03,80
22,2024-09,416.67,106.35,127.92,0
22,2024-10,416.67,89.55,96.8,80
22,2024-11,416.67,221.77,79.67,0
22,2024-12,416.67,50.02,40.03,80
23,2023-01,183.33,231.6,217.11,80
23,2023-02,183.33,411.57,273.89,160
23,2023-03,183.33,140.42,147.84,0
23,2023-04,183.33,272.99,114.66,80
23,2023-05,183.33,288.37,277.43,160
23,2023-06,183.33,186.81,209.74,0
23,2023-07,183.33,229.03,392.32,80
23,2023-08,183.33,202.52,182.36,160
23,2023-09,183.33,253.65,436.35,0
23,2023-10,183.33,467.9,386.05,80
23,2023-11,183.33,321.45,227.92,80
23,2023-12,183.33,209.62,238.41,160
23,2024-01,183.33,257.21,185.23,80
23,2024-02,183.33,596.71,316.05,160
23,2024-03,183.33,375.23,278.15,160
23,2024-04,183.33,245.46,160.63,0
23,2024-05,183.33,321.18,144.21,80
23,2024-06,183.33,383.53,203.23,80
23,2024-07,183.33,579.86,305.29,0
23,2024-08,183.33,457.9,207.46,80
23,2024-09,183.33,151.6,218.21,80
23,2024-10,183.33,273.14,356.43,160
23,2024-11,183.33,465.86,267.07,80
23,2024-12,183.33,381.65,188.93,80
24,2023-01,291.67,238.16,62.52,0
24,2023-02,291.67,119.95,86.32,0
24,2023-03,291.67,44.28,48.83,0
24,2023-04,291.67,68.1,34.69,0
24,2023-05,291.67,173.36,90.75,0
24,2023-06,291.67,154.89,106.63,0
24,2023-07,291.67,100.83,55.65,80
24,2023-08,291.67,107.74,107.07,160
24,2023-09,291.67,43.64,62.33,80
24,2023-10,291.67,161.58,110.13,0
24,2023-11,291.67,216.48,152.84,0
24,2023-12,291.67,151.85,83.75,0
24,2024-01,291.67,226.39,78.91,0
24,2024-02,291.67,208.23,99.21,0
24,2024-03,291.67,113.73,115.65,0
24,2024-04,291.67,70.99,33.31,0
24,2024-05,291.67,47,44.14,80
24,2024-06,291.67,233.84,126.79,0
24,2024-07,291.67,184.54,79.23,0
24,2024-08,291.67,276.97,167.38,80
24,2024-09,291.67,114.67,95.86,80
24,2024-10,291.67,119.21,45.59,80
24,2024-11,291.67,215.93,68.9,0
24,2024-12,291.67,137.15,121.56,80
25,2023-01,416.67,48.41,21.82,0
25,2023-02,416.67,0,0,160
25,2023-03,416.67,30.92,19.43,80
25,2023-04,416.67,22.22,15.17,80
25,2023-05,416.67,48.68,36.4,80
25,2023-06,416.67,32.56,32.28,80
25,2023-07,416.67,0,0,0
25,2023-08,416.67,41.26,22.2,0
25,2023-09,416.67,0,0,80
25,2023-10,416.67,33.76,33.33,0
25,2023-11,416.67,54.92,28.08,0
25,2023-12,416.67,33.07,15.27,80
25,2024-01,416.67,0,0,0
25,2024-02,416.67,0,0,160
25,2024-03,416.67,28.92,36.83,0
25,2024-04,416.67,0,0,0
25,2024-05,416.67,0,0,0
25,2024-06,416.67,0,0,80
25,2024-07,416.67,0,0,80
25,2024-08,416.67,33.13,20.23,0
25,2024-09,416.67,0,0,80
25,2024-10,416.67,35.38,26.48,80
25,2024-11,416.67,0,0,0
25,2024-12,416.67,36.31,19.03,0
26,2023-01,291.67,161.38,61.8,0
26,2023-02,291.67,287.7,157.72,0
26,2023-03,291.67,94.51,77.01,80
26,2023-04,291.67,174.69,106.92,80
26,2023-05,291.67,82.53,56.89,0
26,2023-06,291.67,54.54,37.84,0
26,2023-07,291.67,144.02,139.78,80
26,2023-08,291.67,120.29,99.86,0
26,2023-09,291.67,44.02,53.23,0
26,2023-10,291.67,144.51,135.24,0
26,2023-11,291.67,107.79,78.29,0
26,2023-12,291.67,124.84,108.35,0
26,2024-01,291.67,120.06,77.53,0
26,2024-02,291.67,129.35,117.3,0
26,2024-03,291.67,265.7,164.11,80
26,2024-04,291.67,245.67,118.23,160
26,2024-05,291.67,75.89,73.67,80
26,2024-06,291.67,84.12,120.35,0
26,2024-07,291.67,128.72,79.81,0
26,2024-08,291.67,96.87,85.98,0
26,2024-09,291.67,127.85,78.17,80
26,2024-10,291.67,107.17,52.52,80
26,2024-11,291.67,66.85,33.84,0
26,2024-12,291.67,235.95,73.55,0
27,2023-01,183.33,154.17,111.89,0
27,2023-02,183.33,295.48,232.01,160
27,2023-03,183.33,129.66,178.25,80
27,2023-04,183.33,224.75,283.84,80
27,2023-05,183.33,400.62,209.92,160
27,2023-06,183.33,235.04,172.48,160
27,2023-07,183.33,493.45,153.79,80
27,2023-08,183.33,436.72,286.58,80
27,2023-09,183.33,336.88,163.25,80
27,2023-10,183.33,261.56,187.31,80
27,2023-11,183.33,275.25,212.11,160
27,2023-12,183.33,526.75,218.19,160
27,2024-01,183.33,368.42,250.78,0
27,2024-02,183.33,177.73,190.86,160
27,2024-03,183.33,145.34,96.79,160
27,2024-04,183.33,235.37,437.18,80
27,2024-05,183.33,595.37,394.32,0
27,2024-06,183.33,443.12,340.42,160
27,2024-07,183.33,378.58,304.69,80
27,2024-08,183.33,125.65,154.44,80
27,2024-09,183.33,264.77,168.54,160
27,2024-10,183.33,537.11,201.17,160
27,2024-11,183.33,396.89,250.12,80
27,2024-12,183.33,375.63,289.38,160
28,2023-01,416.67,354.43,105.95,0
28,2023-02,416.67,558.18,227.22,80
28,2023-03,416.67,418.01,281.75,0
28,2023-04,416.67,248.8,325.35,80
28,2023-05,416.67,313.13,305.77,80
28,2023-06,416.67,139.58,128.79,80
28,2023-07,416.67,422.22,297.96,80
28,2023-08,416.67,644.73,178.86,160
28,2023-09,416.67,188.89,216.62,80
28,2023-10,416.67,370.02,417.25,160
28,2023-11,416.67,536.92,298.54,160
28,2023-12,416.67,470.54,319.91,0
28,2024-01,416.67,351.77,119.29,80
28,2024-02,416.67,437.38,154.06,80
28,2024-03,416.67,588.4,200.03,80
28,2024-04,416.67,585.87,417.56,160
28,2024-05,416.67,320.57,155.44,160
28,2024-06,416.67,533.34,263.06,160
28,2024-07,416.67,420.89,298.88,160
28,2024-08,416.67,210.62,258.5,80
28,2024-09,416.67,319.32,272.22,80
28,2024-10,416.67,162.46,238.1,160
28,2024-11,416.67,478.58,236.54,80
28,2024-12,416.67,196.39,163.36,160
29,2023-01,183.33,45.3,18.21,0
29,2023-02,183.33,0,0,0
29,2023-03,183.33,0,0,80
29,2023-04,183.33,29.3,20.65,0
29,2023-05,183.33,39.14,29.64,160
29,2023-06,183.33,53.3,39.39,80
29,2023-07,183.33,0,0,0
29,2023-08,183.33,0,0,0
29,2023-09,183.33,0,0,80
29,2023-10,183.33,0,0,160
