MemberID,PlayDate,Course,HolesPlayed,Score,TeeTime
4,26/08/2024,West Course,18,90,Afternoon
4,24/06/2024,East Course,9,87,Afternoon
4,23/08/2023,West Course,18,92,Afternoon
4,12/01/2024,East Course,18,70,Morning
4,13/11/2023,West Course,9,79,Morning
4,30/07/2023,East Course,9,80,Afternoon
4,08/09/2023,East Course,9,78,Morning
4,05/03/2024,West Course,9,81,Morning
4,04/11/2024,West Course,18,77,Afternoon
4,26/09/2024,East Course,18,105,Afternoon
4,16/06/2023,East Course,18,97,Morning
4,11/11/2024,East Course,9,93,Morning
5,29/05/2023,East Course,18,90,Morning
5,16/01/2023,East Course,9,71,Afternoon
5,01/06/2024,East Course,9,72,Morning
5,10/06/2024,East Course,18,74,Afternoon
5,22/04/2024,East Course,9,89,Morning
5,01/08/2023,West Course,18,93,Morning
5,27/02/2024,West Course,18,78,Afternoon
5,02/11/2023,West Course,18,90,Afternoon
5,07/01/2023,East Course,18,82,Morning
5,04/02/2023,West Course,18,93,Afternoon
5,02/02/2023,West Course,9,97,Morning
5,15/11/2024,West Course,18,89,Morning
5,04/02/2024,West Course,9,71,Afternoon
5,01/09/2024,West Course,18,70,Afternoon
5,11/01/2023,East Course,9,78,Afternoon
5,18/10/2024,West Course,9,81,Morning
5,24/08/2023,East Course,9,76,Morning
5,27/06/2024,West Course,9,71,Morning
5,12/04/2023,East Course,9,94,Afternoon
5,24/05/2023,East Course,18,97,Afternoon
5,23/06/2024,West Course,9,77,Morning
5,12/03/2024,East Course,18,73,Afternoon
5,29/05/2023,West Course,18,105,Afternoon
5,02/02/2023,East Course,9,80,Afternoon
5,27/08/2023,East Course,18,76,Afternoon
5,03/08/2024,East Course,18,73,Afternoon
5,17/06/2023,West Course,18,70,Morning
5,02/02/2023,West Course,9,90,Afternoon
5,14/08/2023,East Course,18,87,Afternoon
5,21/10/2024,West Course,18,93,Afternoon
5,22/09/2024,West Course,18,72,Afternoon
5,11/01/2023,East Course,9,94,Morning
5,19/05/2023,West Course,9,83,Morning
5,22/03/2023,East Course,18,75,Morning
5,02/03/2024,East Course,18,74,Morning
5,25/04/2024,West Course,9,70,Morning
5,04/11/2024,East Course,9,93,Afternoon
5,18/05/2023,East Course,18,81,Afternoon
5,16/01/2024,East Course,9,82,Afternoon
5,12/07/2023,West Course,18,97,Morning
5,10/05/2023,West Course,18,97,Afternoon
5,07/08/2023,East Course,18,78,Morning
5,11/06/2024,West Course,18,86,Morning
5,10/05/2023,East Course,18,71,Afternoon
5,24/12/2023,East Course,18,94,Afternoon
5,16/02/2024,West Course,18,77,Afternoon
5,26/03/2023,West Course,18,83,Morning
6,04/08/2023,West Course,18,81,Afternoon
6,02/05/2024,West Course,9,98,Morning
6,10/08/2023,West Course,18,98,Afternoon
6,21/10/2023,West Course,18,92,Morning
6,07/09/2024,West Course,18,73,Afternoon
6,27/04/2024,West Course,18,98,Morning
6,23/04/2024,East Course,9,84,Morning
6,02/07/2024,East Course,18,82,Afternoon
6,21/01/2024,East Course,18,80,Morning
6,27/04/2024,West Course,18,89,Morning
6,14/08/2024,East Course,18,100,Morning
6,22/08/2024,West Course,9,98,Morning
6,15/07/2024,East Course,9,86,Afternoon
6,20/08/2024,East Course,9,80,Morning
6,09/07/2023,West Course,9,77,Afternoon
6,09/11/2023,West Course,9,91,Afternoon
6,28/05/2023,West Course,9,83,Morning
6,05/05/2023,East Course,18,84,Afternoon
6,06/04/2024,West Course,18,83,Morning
6,14/06/2024,East Course,9,90,Morning
6,20/04/2023,West Course,9,91,Afternoon
6,09/11/2024,West Course,18,76,Afternoon
6,02/11/2023,East Course,9,71,Morning
6,03/09/2024,East Course,18,88,Morning
6,10/02/2024,West Course,9,76,Morning
6,05/07/2023,East Course,18,89,Morning
6,25/02/2024,East Course,9,82,Morning
6,27/05/2024,East Course,18,91,Morning
6,12/05/2023,East Course,9,76,Afternoon
6,23/06/2023,West Course,18,83,Morning
6,25/11/2023,East Course,9,89,Morning
6,02/02/2024,East Course,18,100,Afternoon
6,09/09/2024,West Course,9,93,Afternoon
7,07/07/2023,East Course,18,104,Morning
7,31/08/2023,East Course,9,86,Afternoon
7,18/03/2023,West Course,9,80,Afternoon
7,01/11/2024,West Course,18,92,Afternoon
7,06/04/2024,East Course,18,91,Afternoon
7,26/07/2023,West Course,9,98,Morning
7,24/06/2024,West Course,18,101,Afternoon
7,15/12/2023,East Course,18,94,Morning
7,20/10/2023,East Course,18,72,Morning
7,26/03/2024,East Course,18,83,Afternoon
7,25/02/2023,West Course,9,72,Afternoon
7,06/03/2024,West Course,9,99,Afternoon
7,28/07/2024,East Course,9,86,Afternoon
7,27/01/2023,East Course,9,73,Afternoon
7,29/08/2023,West Course,9,94,Morning
7,03/04/2024,West Course,18,78,Morning
7,02/05/2024,East Course,18,74,Morning
7,02/03/2024,East Course,9,90,Morning
7,17/06/2024,East Course,9,98,Morning
7,18/03/2023,West Course,18,84,Morning
7,21/05/2023,West Course,9,84,Afternoon
7,06/01/2024,West Course,9,82,Morning
7,21/07/2023,West Course,18,96,Afternoon
7,18/08/2023,East Course,18,86,Morning
7,18/07/2024,West Course,18,85,Afternoon
7,01/09/2023,East Course,18,82,Afternoon
7,14/06/2023,East Course,9,84,Morning
7,11/06/2024,West Course,18,95,Afternoon
7,22/11/2024,East Course,9,100,Morning
7,08/11/2024,West Course,9,99,Afternoon
7,08/03/2023,West Course,18,99,Morning
7,01/12/2023,East Course,18,95,Afternoon
7,03/06/2023,West Course,9,97,Afternoon
7,17/05/2024,East Course,18,96,Morning
7,09/02/2024,East Course,18,102,Morning
7,31/08/2024,East Course,9,99,Morning
8,04/08/2024,West Course,9,94,Morning
8,03/01/2023,West Course,18,100,Morning
8,03/12/2023,East Course,18,82,Morning
8,02/06/2023,West Course,18,105,Morning
8,18/03/2024,East Course,18,77,Afternoon
8,23/08/2024,West Course,9,78,Afternoon
8,30/07/2024,West Course,9,93,Morning
8,23/05/2024,East Course,9,92,Afternoon
8,19/02/2023,East Course,9,78,Afternoon
8,18/09/2024,East Course,9,74,Morning
8,27/04/2023,West Course,18,84,Afternoon
8,22/05/2023,West Course,9,74,Afternoon
8,26/09/2024,East Course,18,94,Afternoon
8,09/01/2023,East Course,18,72,Afternoon
8,14/04/2023,East Course,18,102,Morning
8,01/10/2024,East Course,18,73,Morning
8,24/02/2023,West Course,9,105,Morning
8,19/02/2024,West Course,9,84,Morning
8,08/04/2024,West Course,9,105,Afternoon
8,17/06/2023,East Course,18,70,Afternoon
8,10/03/2023,West Course,18,85,Morning
8,10/07/2023,East Course,9,95,Afternoon
8,27/05/2023,West Course,9,77,Afternoon
8,31/10/2023,East Course,18,88,Afternoon
8,22/12/2023,East Course,18,105,Afternoon
8,27/07/2024,West Course,18,73,Afternoon
8,03/08/2024,West Course,9,71,Afternoon
8,21/04/2024,East Course,18,94,Morning
8,28/07/2024,West Course,9,80,Morning
8,11/08/2023,East Course,18,82,Morning
8,29/09/2024,West Course,18,81,Afternoon
8,29/05/2024,West Course,9,75,Morning
8,08/03/2024,East Course,9,79,Afternoon
8,14/05/2023,West Course,18,103,Afternoon
8,16/06/2023,West Course,9,104,Afternoon
8,08/01/2024,East Course,9,88,Afternoon
8,24/09/2023,West Course,18,90,Afternoon
8,23/03/2024,West Course,18,104,Afternoon
8,31/05/2023,East Course,9,96,Afternoon
9,28/02/2023,East Course,9,73,Morning
9,08/08/2024,West Course,18,87,Afternoon
9,02/01/2024,East Course,9,104,Morning
9,03/11/2023,West Course,9,76,Afternoon
9,13/04/2024,East Course,9,72,Morning
9,24/03/2023,West Course,18,79,Morning
9,29/06/2023,East Course,9,99,Afternoon
9,12/03/2023,West Course,9,77,Morning
9,16/05/2023,East Course,18,100,Afternoon
9,22/06/2024,East Course,18,100,Morning
9,02/07/2023,East Course,18,95,Afternoon
9,03/09/2024,West Course,18,90,Morning
9,16/01/2024,East Course,18,80,Afternoon
9,27/02/2024,East Course,18,87,Afternoon
9,19/10/2023,West Course,9,85,Afternoon
9,03/09/2024,East Course,18,97,Morning
9,24/12/2023,East Course,18,73,Morning
9,13/04/2023,West Course,9,89,Morning
9,22/06/2023,West Course,9,81,Morning
9,10/02/2023,West Course,9,90,Afternoon
9,18/11/2023,East Course,18,99,Afternoon
9,24/04/2024,West Course,9,73,Afternoon
9,03/11/2024,West Course,18,80,Morning
9,09/07/2024,East Course,9,87,Morning
9,12/05/2024,East Course,9,78,Morning
9,29/11/2023,East Course,18,100,Morning
9,11/02/2023,West Course,9,75,Morning
9,06/06/2023,East Course,9,79,Afternoon
9,12/08/2024,East Course,9,76,Afternoon
9,10/09/2023,East Course,18,90,Afternoon
9,09/12/2023,East Course,9,77,Morning
9,17/11/2023,West Course,9,102,Afternoon
9,29/12/2023,West Course,18,74,Morning
9,18/04/2024,West Course,9,80,Afternoon
9,22/01/2024,East Course,18,72,Afternoon
9,07/05/2023,East Course,18,83,Afternoon
9,06/03/2024,West Course,9,79,Morning
9,24/11/2024,East Course,9,75,Afternoon
9,07/04/2024,East Course,18,85,Afternoon
9,16/08/2024,West Course,9,74,Afternoon
9,28/04/2024,East Course,9,70,Afternoon
9,29/10/2023,West Course,18,103,Afternoon
10,16/07/2023,West Course,18,92,Morning
10,20/02/2024,West Course,9,72,Afternoon
10,12/04/2023,East Course,18,86,Morning
10,07/01/2023,West Course,18,92,Morning
10,04/12/2023,East Course,18,75,Afternoon
10,17/03/2024,West Course,18,82,Afternoon
10,06/04/2023,West Course,9,105,Afternoon
10,26/05/2023,East Course,18,90,Morning
10,15/08/2024,West Course,9,86,Morning
10,12/04/2023,East Course,9,71,Morning
10,16/07/2023,East Course,9,95,Morning
10,08/10/2024,East Course,18,79,Morning
10,07/12/2023,West Course,18,72,Morning
10,09/04/2024,West Course,18,95,Afternoon
10,11/09/2023,West Course,9,78,Afternoon
10,14/08/2023,West Course,9,83,Morning
10,01/06/2024,East Course,9,85,Morning
10,22/03/2024,East Course,9,78,Afternoon
10,18/01/2023,East Course,9,71,Afternoon
10,11/04/2023,East Course,18,94,Morning
10,22/05/2023,West Course,18,82,Afternoon
10,05/05/2023,East Course,9,88,Afternoon
10,23/05/2023,East Course,18,77,Afternoon
10,13/07/2024,West Course,9,90,Afternoon
10,14/01/2023,East Course,9,89,Morning
10,13/07/2024,East Course,18,85,Afternoon
10,16/02/2023,East Course,18,80,Morning
10,31/08/2023,East Course,9,91,Morning
10,11/11/2023,West Course,18,78,Afternoon
10,15/06/2024,West Course,18,80,Morning
10,10/12/2023,West Course,9,74,Morning
10,11/03/2023,West Course,9,88,Afternoon
10,05/03/2024,East Course,9,88,Morning
10,13/09/2024,West Course,9,88,Afternoon
10,24/11/2023,West Course,9,101,Morning
10,28/04/2023,East Course,18,94,Morning
11,09/07/2023,East Course,18,91,Morning
11,10/01/2023,East Course,18,84,Afternoon
11,15/07/2023,East Course,18,87,Morning
11,14/09/2023,East Course,18,84,Morning
11,21/04/2024,West Course,18,70,Afternoon
11,30/06/2024,East Course,18,73,Afternoon
11,12/11/2023,West Course,18,77,Morning
11,12/10/2024,East Course,18,97,Morning
11,21/05/2024,West Course,18,78,Afternoon
11,04/05/2024,West Course,18,83,Morning
11,25/09/2024,East Course,9,93,Morning
11,16/06/2023,West Course,18,101,Afternoon
11,03/11/2023,East Course,9,98,Morning
11,19/04/2023,West Course,18,95,Afternoon
11,28/07/2024,East Course,9,89,Afternoon
11,09/03/2023,East Course,9,104,Morning
11,01/09/2023,East Course,9,84,Afternoon
11,29/02/2024,East Course,9,89,Afternoon
11,25/12/2023,West Course,9,75,Morning
11,08/01/2023,East Course,9,97,Morning
11,07/10/2023,East Course,18,96,Afternoon
11,16/07/2023,West Course,18,82,Afternoon
11,14/03/2023,West Course,9,76,Morning
11,18/01/2024,West Course,18,86,Afternoon
11,11/04/2024,West Course,18,90,Morning
11,26/04/2023,East Course,9,88,Morning
11,25/05/2023,West Course,9,94,Morning
11,05/08/2024,West Course,18,93,Morning
11,08/04/2024,East Course,9,73,Morning
11,19/03/2023,West Course,9,86,Afternoon
11,29/09/2024,East Course,18,93,Afternoon
11,02/11/2024,West Course,9,91,Morning
11,24/05/2024,East Course,18,105,Morning
11,18/01/2023,West Course,18,95,Afternoon
11,15/07/2024,East Course,9,91,Afternoon
11,10/03/2023,East Course,9,101,Morning
11,14/11/2024,East Course,9,93,Afternoon
11,23/08/2023,West Course,9,81,Afternoon
11,14/06/2023,West Course,9,85,Afternoon
12,18/11/2023,East Course,18,95,Afternoon
12,15/07/2023,West Course,9,90,Afternoon
12,02/05/2023,East Course,9,84,Afternoon
12,13/02/2024,West Course,18,77,Afternoon
12,08/11/2024,East Course,9,89,Afternoon
12,21/07/2023,East Course,18,103,Afternoon
12,29/01/2023,West Course,18,77,Afternoon
12,29/01/2023,East Course,18,83,Afternoon
12,11/10/2023,East Course,18,76,Afternoon
12,16/02/2024,West Course,9,80,Afternoon
12,02/04/2024,West Course,9,77,Morning
12,28/08/2024,West Course,18,86,Afternoon
12,18/07/2024,West Course,18,97,Afternoon
12,13/01/2024,West Course,9,75,Afternoon
12,24/09/2024,East Course,18,97,Morning
12,28/08/2024,East Course,9,77,Afternoon
12,07/01/2023,East Course,18,87,Morning
12,26/02/2023,East Course,18,88,Morning
12,27/07/2023,East Course,18,89,Morning
12,30/12/2023,West Course,18,100,Afternoon
12,04/02/2024,East Course,18,73,Afternoon
12,14/12/2023,West Course,9,84,Afternoon
12,21/01/2023,West Course,18,80,Morning
12,25/01/2024,West Course,9,102,Afternoon
12,12/08/2024,East Course,18,97,Afternoon
12,14/11/2023,East Course,9,82,Morning
12,12/09/2023,West Course,18,87,Morning
12,16/08/2023,East Course,9,92,Morning
12,10/04/2024,East Course,9,81,Morning
12,21/11/2023,East Course,18,95,Morning
12,10/02/2023,West Course,9,74,Morning
12,30/06/2023,East Course,18,71,Morning
12,22/11/2024,West Course,9,81,Morning
12,26/08/2024,East Course,18,103,Morning
13,23/11/2023,West Course,18,77,Morning
13,04/11/2024,West Course,18,102,Morning
13,17/03/2023,West Course,18,82,Afternoon
13,25/09/2024,West Course,18,100,Afternoon
13,19/10/2023,East Course,9,99,Morning
13,04/06/2023,East Course,9,79,Morning
13,25/11/2023,West Course,18,100,Afternoon
13,29/04/2024,East Course,9,89,Afternoon
13,31/07/2023,West Course,18,83,Morning
13,13/03/2024,East Course,18,88,Afternoon
13,07/02/2024,West Course,18,73,Afternoon
13,23/11/2024,West Course,9,80,Afternoon
13,23/06/2023,East Course,18,91,Afternoon
13,25/05/2024,West Course,18,100,Afternoon
13,12/07/2024,West Course,18,103,Morning
13,27/10/2024,West Course,9,82,Afternoon
13,23/04/2024,East Course,9,97,Afternoon
13,01/11/2024,West Course,9,71,Morning
13,24/02/2024,East Course,9,101,Afternoon
13,01/10/2023,West Course,9,88,Afternoon
13,02/10/2024,East Course,18,89,Morning
13,05/03/2024,West Course,18,81,Afternoon
13,01/10/2024,East Course,9,98,Afternoon
13,18/12/2023,West Course,18,93,Afternoon
13,26/07/2023,East Course,18,83,Afternoon
13,12/10/2023,East Course,18,96,Afternoon
13,31/10/2024,East Course,9,90,Afternoon
13,04/01/2024,East Course,9,92,Afternoon
13,02/03/2023,East Course,9,95,Afternoon
13,05/07/2024,West Course,9,100,Morning
13,06/07/2023,West Course,18,105,Afternoon
13,13/05/2024,East Course,9,95,Afternoon
13,07/04/2023,East Course,18,73,Morning
13,30/10/2023,East Course,18,91,Afternoon
13,17/10/2024,East Course,18,93,Afternoon
13,03/07/2024,East Course,18,78,Afternoon
13,04/03/2024,East Course,9,72,Afternoon
13,11/09/2023,East Course,18,102,Morning
13,15/01/2023,East Course,18,88,Afternoon
13,22/11/2024,East Course,9,90,Afternoon
13,13/04/2023,West Course,18,75,Morning
13,07/03/2024,East Course,18,76,Afternoon
14,30/06/2024,East Course,9,105,Morning
14,29/09/2023,East Course,18,82,Morning
14,13/02/2023,East Course,18,83,Afternoon
14,17/03/2024,West Course,9,89,Afternoon
14,02/04/2024,East Course,9,95,Afternoon
14,03/05/2023,West Course,9,81,Afternoon
14,23/09/2023,East Course,18,84,Morning
14,03/06/2023,West Course,9,89,Morning
14,08/04/2023,West Course,9,98,Morning
14,22/06/2023,West Course,18,81,Morning
14,03/07/2024,East Course,18,74,Morning
14,18/09/2024,West Course,9,95,Afternoon
14,15/09/2024,East Course,9,70,Morning
14,09/07/2024,West Course,18,86,Morning
14,14/11/2023,West Course,9,76,Morning
14,08/05/2024,West Course,9,70,Afternoon
14,11/06/2024,West Course,9,77,Morning
14,21/11/2023,East Course,18,81,Morning
14,18/02/2024,East Course,18,79,Afternoon
14,27/12/2023,West Course,18,92,Morning
14,20/12/2023,West Course,9,83,Afternoon
14,09/04/2024,West Course,9,77,Morning
14,29/10/2024,West Course,9,84,Morning
14,30/09/2023,East Course,18,78,Afternoon
14,11/09/2023,West Course,18,87,Afternoon
14,22/09/2023,East Course,18,92,Morning
14,04/10/2024,West Course,9,90,Morning
14,07/11/2024,East Course,9,104,Morning
14,05/09/2023,East Course,18,97,Afternoon
14,06/10/2023,East Course,18,99,Afternoon
14,30/08/2024,East Course,18,75,Afternoon
14,04/08/2024,East Course,18,94,Afternoon
14,04/03/2024,East Course,18,74,Morning
14,24/07/2024,East Course,9,80,Afternoon
14,06/04/2023,East Course,18,88,Morning
14,22/06/2024,East Course,18,82,Afternoon
14,08/01/2023,West Course,18,77,Morning
14,06/10/2023,West Course,18,97,Morning
14,23/06/2023,West Course,18,104,Morning
14,10/01/2023,West Course,9,89,Morning
14,07/01/2024,East Course,9,101,Afternoon
14,30/07/2023,West Course,18,78,Afternoon
15,11/04/2024,East Course,18,74,Morning
15,21/01/2024,West Course,18,98,Morning
15,09/01/2023,East Course,18,76,Afternoon
15,11/11/2023,West Course,9,91,Morning
15,22/04/2024,West Course,18,105,Afternoon
15,27/04/2023,East Course,18,88,Afternoon
15,30/09/2023,East Course,9,104,Afternoon
15,08/10/2024,West Course,9,102,Morning
15,03/02/2023,East Course,18,91,Morning
15,09/07/2024,West Course,18,75,Afternoon
15,27/02/2023,West Course,9,80,Afternoon
15,12/10/2023,East Course,9,90,Afternoon
15,26/10/2024,East Course,9,82,Afternoon
15,01/02/2024,West Course,9,97,Afternoon
15,10/09/2024,East Course,9,74,Morning
15,15/10/2024,East Course,18,90,Morning
15,20/11/2023,East Course,18,85,Afternoon
15,08/10/2023,West Course,9,79,Afternoon
15,09/02/2024,East Course,18,80,Morning
15,15/09/2023,West Course,18,71,Afternoon
15,14/08/2023,East Course,9,96,Morning
15,03/05/2024,East Course,9,88,Morning
15,15/07/2023,East Course,18,101,Morning
15,13/02/2024,West Course,18,75,Morning
15,01/05/2024,East Course,9,92,Afternoon
15,22/05/2024,West Course,9,98,Afternoon
15,13/09/2024,East Course,18,72,Morning
15,04/11/2023,East Course,9,98,Afternoon
15,05/01/2024,West Course,9,94,Morning
15,11/05/2023,East Course,9,101,Afternoon
15,14/07/2023,East Course,9,71,Morning
15,19/09/2023,West Course,18,99,Morning
15,27/09/2023,East Course,9,77,Morning
15,26/06/2023,East Course,18,77,Afternoon
15,12/01/2023,West Course,18,84,Afternoon
15,25/02/2024,East Course,9,92,Morning
16,10/02/2024,East Course,9,78,Morning
16,29/05/2023,West Course,9,97,Morning
16,28/09/2024,East Course,18,105,Morning
16,15/09/2024,West Course,18,100,Morning
16,23/11/2024,East Course,18,98,Morning
16,21/08/2023,West Course,9,71,Afternoon
16,08/02/2023,West Course,9,91,Afternoon
16,30/12/2023,East Course,9,99,Afternoon
16,08/04/2024,East Course,18,92,Afternoon
16,13/11/2023,East Course,18,105,Afternoon
16,03/04/2024,East Course,9,94,Morning
16,08/07/2023,West Course,18,92,Afternoon
16,27/02/2024,West Course,18,71,Morning
16,25/03/2024,East Course,18,75,Afternoon
16,12/09/2023,East Course,9,94,Afternoon
16,18/05/2024,West Course,18,96,Afternoon
16,23/02/2024,West Course,18,100,Morning
16,02/02/2023,West Course,18,79,Morning
16,08/10/2023,West Course,9,74,Afternoon
16,17/08/2024,West Course,18,89,Afternoon
16,19/02/2023,West Course,18,91,Afternoon
16,08/01/2023,East Course,18,74,Morning
16,16/12/2023,West Course,9,77,Morning
16,15/10/2024,East Course,18,78,Morning
16,08/02/2024,West Course,18,79,Morning
16,28/06/2023,West Course,9,89,Afternoon
16,13/05/2024,West Course,18,105,Morning
16,15/07/2023,West Course,9,101,Morning
16,27/08/2024,East Course,9,73,Afternoon
16,21/04/2024,West Course,18,99,Morning
16,03/11/2024,East Course,9,81,Afternoon
16,22/03/2024,West Course,9,74,Afternoon
16,08/04/2024,West Course,18,89,Morning
16,01/02/2024,West Course,18,80,Afternoon
16,23/04/2023,East Course,18,71,Afternoon
16,23/08/2023,West Course,18,100,Morning
16,29/11/2024,West Course,9,100,Afternoon
16,19/03/2023,West Course,9,74,Afternoon
16,01/04/2023,West Course,18,101,Morning
16,01/04/2023,West Course,9,90,Afternoon
16,01/05/2024,East Course,18,79,Afternoon
16,22/09/2023,West Course,9,102,Morning
16,01/07/2024,East Course,9,73,Morning
17,23/03/2024,West Course,18,85,Afternoon
17,22/10/2024,West Course,18,81,Afternoon
17,25/05/2023,West Course,18,74,Afternoon
17,05/06/2024,West Course,9,72,Afternoon
17,24/09/2024,East Course,18,73,Morning
